week1&2,,
"GOMBAK";100,20,102,34,110,31,90,26,105,70,78,83,90,75
"KLANG";120,24,122,41,132,38,108,31,125,84,94,99,108,90
"SABAK BERNAM";30,6,31,10,33,9,27,8,31,21,24,29,27,23
"SEPANG";20,4,20,7,22,6,18,5,21,14,16,21,18,15
"HULU LANGAT";10,2,10,3,11,3,9,3,10,7,8,13,9,8
"KUALA LANGAT";5,1,5,2,6,2,5,1,5,3,4,9,5,4
"PETALING";150,30,153,51,165,47,135,39,157,105,118,123,135,112
"HULU SELANGOR";20,4,20,7,22,6,18,5,21,14,16,21,18,15
"KUALA SELANGOR";3,1,3,1,3,1,3,1,3,2,2,7,3,3
week3&4,,
"GOMBAK";45,45,102,34,110,31,90,26,105,25,45,83,90,75
"KLANG";50,24,122,41,155,38,78,67,125,84,94,45,108,90
"SABAK BERNAM";35,3,31,25,33,45,27,8,31,57,24,29,27,23
"SEPANG";20,25,20,7,22,6,18,5,21,68,16,21,18,15
"HULU LANGAT";43,2,25,57,11,45,9,43,25,7,76,25,9,8
"KUALA LANGAT";55,1,5,2,22,45,5,5,11,78,77,60,5,4
"PETALING";45,30,87,74,45,25,68,39,157,68,48,123,135,112
"HULU SELANGOR";20,4,20,54,22,6,77,5,21,14,16,21,18,15
"KUALA SELANGOR";3,5,8,5,3,1,27,1,3,7,8,78,3,3


